character,dialogue
THREEPIO,Is there anything I might do to help? 
LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on."
LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
THREEPIO,"I see, sir."
LUKE,"Uh, you can call me Luke."
THREEPIO,"I see, sir Luke."
LUKE,Just Luke.
THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
LUKE,Hello.
LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.
THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
LUKE,You know of the Rebellion against the Empire?
THREEPIO,"That's how we came to be in your service, if you take my meaning, sir."
LUKE,Have you been in many battles?
THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways."
LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or..."
LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope."
LUKE,What's this?
THREEPIO,What is what?!?  He asked you a question...What is that?
LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope."
THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind."
LUKE,Who is she?  She's beautiful.
THREEPIO,"I'm afraid I'm not quite sure, sir."
LEIA,"Help me, Obi-Wan Kenobi..."
THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to..."
LUKE,Is there more to this recording?
THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master."
THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?
